FLAG_MALE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,FLAG_EMPLOYED,DAYS_AGE,FLAG_CHILDREN,FLAG_APPROVED
False,False,False,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1900,True,False,False,High skill tech staff,2.0,True,13566,False,True
True,True,True,0,315000.0,Working,Higher education,Single / not married,House / apartment,-543,False,True,False,High skill tech staff,1.0,True,10328,False,False
False,True,True,0,315000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-3021,False,True,True,Laborers,1.0,True,18184,False,True
False,False,True,1,180000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-3850,False,True,False,Medicine staff,2.0,True,13467,True,True
True,True,False,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,-1931,False,True,False,Laborers,3.0,True,13086,True,False
True,True,False,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-834,False,False,False,Laborers,2.0,True,10066,False,True
True,True,True,1,247500.0,Working,Higher education,Married,House / apartment,-232,False,False,False,Sales staff,3.0,True,9425,True,True
False,False,True,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9482,False,False,False,Core staff,1.0,True,16677,False,True
False,False,True,0,157500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-1626,False,False,False,Core staff,1.0,True,16873,False,True
True,False,True,1,99000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-4609,False,False,False,Laborers,2.0,True,18979,True,False
False,False,True,0,189000.0,Pensioner,Higher education,Separated,House / apartment,365243,False,False,False,,1.0,False,22655,False,False
True,False,False,0,225000.0,Commercial associate,Higher education,Married,With parents,-5082,True,False,False,Managers,2.0,True,13021,False,True
False,True,False,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-7364,True,False,False,Cooking staff,2.0,True,14060,False,True
